id,customerId,vin,year,make,model,color,licensePlate,mileage
1ccfeba2-adaa-47b3-b486-042c8a408a46,,1F9RUD1A3SJ540047,2025,Retroride,Retroride,,,2
1dfeb47c-aeee-41b6-8386-e091ffa9ecf3,2b38d8c3-3d8f-46ad-b82a-2ceb751cae00,1F9RUD1A8RJ540023,2024,Navitas,Bronco,,,true
f23128dc-f2ed-4ed5-bc19-bb5160fc3365,e04b6ecc-7bdf-4c2f-8446-b637c300617d,1F9RUD1A9RJ540029,2024,Retro Ride,Truck,,,true
f34ffd66-efa3-4d62-b169-6bbe9175ca75,5fd49e5c-7af8-4eaf-bb22-99c11c4dc804,1F9RUD1A1RJ540025,2024,Retro Ride,Truck,,,true
f44fa7cd-bfc3-40d2-9eae-7306262f6d24,,1F9RUD1A3RJ540043,2024,Retro Ride,Retro Ride,,,true
f559fcdd-f9e5-410f-805f-c11344794c8b,35e018ee-32ff-44a3-9780-98e059cb29c3,1F9RUD1A3SJ540033,2025,Retroride,Retroride,Green,,2
fa3aea3a-3e75-4679-ba22-53566cdae1d4,,1F9RUD1A1SJ540032,2025,Retroride,Retroride,Green,,2
5f31c305-7705-4180-b75b-b367e29f45fa,3d025e34-b654-4d90-a1e3-88f0c2d18bdd,1F9RUD1A8SJ540044,2025,Retroride,Retroride,Blue,,2
22afdfb2-0566-4436-8995-8a886d7b4150,6a6b1580-6ee3-4b99-abfe-5cf97e9db3c3,1FRUD1AXSJ540014,2025,Retro Ride,Retro Ride,,,2
462bc9e8-fe6b-477e-9477-ea14d19a4190,c5a4e2e9-d240-4855-ae59-7bf0253a4a97,1F9RUD1A2SJ540024,2025,Retroride,Retroride,,,true
487d7697-a0a8-4072-bb05-a8944fe97170,,1F9RUD1A2SJ540041,2025,Retroride,Retroride,Green,,3
4c1e96db-1798-4ef6-96dc-e4aa5c9d3888,eb95a567-7819-4272-87dd-c6c9a3dc0f82,1F9RUD1A7SJ540018,2025,Retro Ride,Retro Ride,,,true
604fded9-32e4-4da2-918e-ba05dd6b2b1f,4cd65de8-bac1-47a4-ae0c-5e8b3c04d41b,1F9RUD1AXRJ540041,2025,Retro Ride,Retro Ride,,,true
6243ea61-fe2a-466e-9f89-5135b91a9208,272fadd8-95ca-4e6f-a0ca-aa8497f7f972,1F9RUD1A3RJ540026,2024,Retro Ride,LSV,,,true
624725ce-33fd-45c6-b5a4-208765b4fc00,85f2211d-c2cd-41a3-8f91-8969eb309cdb,1F9RUD1A7SJ540035,2025,Retroride,Retroride,Blue,,2
24af114c-c13d-45ba-8ab8-1f8bfac936c1,,1F9RUD1A2SJ540038,2025,Retroride,Retroride,Green,,2
27ac7f3b-fd5e-4323-bc0c-27a4c84821f5,5661c7e0-c81f-48e2-acbe-c39b9ccab9ad,1F9RUD1A6SJ540026,2025,Retroride,Retroride,Black,,false
29b9eb5c-f0f6-4c84-b3a7-debfe65917eb,cb2b687f-6560-4723-9f1a-3d0dd18447af,1F9RUD1A8RJ540037,2025,Retro Ride,Retro Ride,,,true
52387a66-d68e-4ec5-ac3c-d8ae6fa39353,ed4076fa-32ba-4edf-9cb8-b801f4758050,1F9RUD1A0SJ540037,2025,Retroride,Retroride,Blue,,2
52f06e7a-5592-47a2-a47f-a672de65871a,8e4d9a88-9242-406c-a83a-48c956b03f2d,1F9RUD1A1RJ540039,2024,Retro Ride,Retro Ride,,,true
54482144-92c0-4f53-8f66-8119641b0246,e4c75b4f-3fc1-4405-989a-adbcf130dee3,1F9RUD1A1SJ540046,2025,Retroride,Retroride,Blue,,2
555b3c71-5e35-4c16-b386-281d7825f79a,600d180c-a701-445a-bd7d-a011e613acbc,1F9RUD1A1SJ540015,2025,Retro Ride,Retro Ride,Green,,2
58efdeeb-f476-43cf-8f08-65e5e02bbe3b,9235f36a-4cc0-48b9-8f0e-efffab06845d,1F9RUD1A8SJ540030,2025,Retroride,Retroride,Green,,2
59825c6f-da41-4201-a73b-7619f39c9c25,2d5fbbb6-bf03-4294-90ad-40dd27d21c0b,1F9RUD1AXSJ540028,2025,Retroride,Retroride,Gray,,false
2c88b3c0-16c2-412e-b83a-288faf7f88e7,2b3f7dac-7511-4595-93ed-46771274fe0f,1F9RUD1A0RJ540033,2024,Retro Ride,Retro Ride,,,true
2e20251f-5dbf-4ad2-80bf-9b53c7c2085a,89512196-6e35-47ee-86db-c16804425410,1F9RUD1A8SJ540027,2025,Retroride,Retroride,,,false
2ff6e432-38ee-48cf-9432-5ac2666b07d3,bd66a435-0f2f-478e-a00b-0a7b013f5620,1F9RUD1A0RJ540047,2024,Retro Ride,Retro Ride,,,true
302ef053-5ef1-4a4d-bbd8-abfe75583a69,6a68ffe3-393e-44be-b1ae-fa5df7a5f202,1F9RUD1A5TJ540101,2026,Retro Ride,Retro Ride,,,true
696de384-b755-49f3-bfe8-a813947e893e,,1F9RUD1A3SJ540050,2025,Retroride,Retroride,Green,,3
